OID_ZCTA5_20,GEOID_ZCTA5_20,NAMELSAD_ZCTA5_20,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,MTFCC_ZCTA5_20,CLASSFP_ZCTA5_20,FUNCSTAT_ZCTA5_20,OID_PLACE_20,GEOID_PLACE_20,NAMELSAD_PLACE_20,AREALAND_PLACE_20,AREAWATER_PLACE_20,MTFCC_PLACE_20,CLASSFP_PLACE_20,FUNCSTAT_PLACE_20,AREALAND_PART,AREAWATER_PART
221704257878623,12788,ZCTA5 12788,57408078,228682,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,55541238,228682
221704257878623,12788,ZCTA5 12788,57408078,228682,G6350,B5,S,2809015682491676,3682733,Woodbourne CDP,1866840,0,G4210,U1,S,1866840,0
221704257878624,12789,ZCTA5 12789,41167302,684499,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,36130552,420889
221704257878624,12789,ZCTA5 12789,41167302,684499,G6350,B5,S,2809015682491687,3648736,Mountain Dale CDP,15003225,77215,G4210,U1,S,701515,0
221704257878624,12789,ZCTA5 12789,41167302,684499,G6350,B5,S,27890737079603,3682953,Woodridge village,4335235,263610,G4110,C1,A,4335235,263610
221704257878625,12790,ZCTA5 12790,133258455,6867769,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,126953841,6859812
221704257878625,12790,ZCTA5 12790,133258455,6867769,G6350,B5,S,27890737079604,3683272,Wurtsboro village,3235325,0,G4110,C1,A,3235325,0
221704257878625,12790,ZCTA5 12790,133258455,6867769,G6350,B5,S,2809015682491690,3683283,Wurtsboro Hills CDP,3069289,7957,G4210,U1,S,3069289,7957
221704257878627,12791,ZCTA5 12791,9375595,2015,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,9375595,2015
221704257878629,12792,ZCTA5 12792,11080246,553221,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,11080246,553221
221704257878630,12801,ZCTA5 12801,9815555,358646,G6350,B5,S,27890723295637,3629333,Glens Falls city,9972878,358646,G4110,C5,A,9809562,358646
221704257878630,12801,ZCTA5 12801,9815555,358646,G6350,B5,S,28090723295622,3629338,Glens Falls North CDP,21694877,228682,G4210,U2,S,2808,0
221704257878630,12801,ZCTA5 12801,9815555,358646,G6350,B5,S,28090723295625,3680082,West Glens Falls CDP,17201270,338058,G4210,U1,S,3185,0
221704257878635,12803,ZCTA5 12803,15698785,1570873,G6350,B5,S,NA,NA,NA,NA,NA,NA,NA,NA,12180492,1229257
221704257878635,12803,ZCTA5 12803,15698785,1570873,G6350,B5,S,27890724566441,3669078,South Glens Falls village,3518293,341616,G4110,C1,A,3518293,341616
