cty,stplc,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,n_blocks
36029,3615836,404,1,0,0,66,55,15,15,0,7,6,5,16,1,10,103,40,5,42,17,0,20
36029,3620313,9258,0,0,0,412,1508,672,1173,227,0,494,56,1301,139,600,608,532,35,700,334,467,123
36029,3621589,5659,0,0,0,46,1376,646,729,0,48,113,17,168,261,73,442,521,53,903,176,87,57
36029,3623404,1048,18,0,0,55,16,3,82,80,8,9,0,13,0,8,295,103,7,163,105,83,31
36029,3623701,3289,0,0,0,118,0,33,991,13,18,169,35,237,232,159,199,449,6,528,99,3,104
36029,3624141,912,0,0,0,62,176,60,75,0,11,338,5,17,0,7,52,25,0,47,37,0,21
36029,3625428,82,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,9,0,0,4,58,5
36029,3629630,344,0,0,2,0,0,0,82,0,0,2,0,2,0,0,99,31,4,34,46,42,12
36029,3629894,288,0,0,0,18,0,5,39,0,0,0,6,39,0,4,3,42,43,74,15,0,21
36029,3631643,3443,1,0,0,116,175,95,426,17,101,197,31,254,179,113,72,415,46,802,270,133,65
36029,3632391,5530,0,0,0,79,39,138,2052,67,22,341,130,147,0,85,296,765,149,858,362,0,39
