fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2016,Otsego County Sales and Use Tax,40,35366942
2016,Putnam County Sales and Use Tax,41,54664294
2016,Rensselaer County Sales and Use Tax,42,79321380
2016,Rockland County Sales and Use Tax,43,198324313
2016,St. Lawrence County Sales and Use Tax,44,54770397
2016,Saratoga County Sales and Use Tax,45,114479107
2016,Schenectady County Sales and Use Tax,46,93846356
2016,Schoharie County Sales and Use Tax,47,13747968
2016,Schuyler County Sales and Use Tax,48,10371954
2016,Seneca County Sales and Use Tax,49,23465431
2016,Steuben County Sales and Use Tax,50,52724975
2016,Suffolk County Sales and Use Tax,51,1313607815
2016,Sullivan County Sales and Use Tax,52,36613049
2016,Tioga County Sales and Use Tax,53,19741233
2016,Tompkins County Sales and Use Tax,54,48332520
2016,Ulster County Sales and Use Tax,55,108655053
2016,Warren County Sales and Use Tax,56,50138077
2016,Washington County Sales and Use Tax,57,20056168
2016,Wayne County Sales and Use Tax,58,41015618
2016,Westchester County Sales and Use Tax,59,499585528
2016,Wyoming County Sales and Use Tax,60,16592784
2016,Yates County Sales and Use Tax,61,10885547
2016,City of Amsterdam Sales and Use Tax,62,0
2016,City of Auburn Sales and Use Tax,63,8463095
2016,City of Batavia Sales and Use Tax,64,1069
2016,City of Canandaigua Sales and Use Tax,65,1294
2016,City of Corning Sales and Use Tax,66,178290
2016,City of Cortland Sales and Use Tax,67,0
2016,City of Elmira Sales and Use Tax,68,0
2016,City of Fulton Sales and Use Tax,69,0
2016,City of Geneva Sales and Use Tax,70,6674
2016,City of Glen Cove Sales and Use Tax,71,0
2016,City of Glens Falls Sales and Use Tax,72,2866936
2016,City of Gloversville Sales and Use Tax,73,3440675
2016,City of Hornell Sales and Use Tax,74,134846
2016,City of Ithaca Sales and Use Tax,75,10608346
2016,City of Johnstown Sales and Use Tax,76,3547067
2016,City of Mechanicville Sales and Use Tax,77,0
2016,City of Mount Vernon Sales and Use Tax,78,18417280
2016,City of New Rochelle Sales and Use Tax,79,27578446
2016,City of Norwich Sales and Use Tax,80,1517094
2016,City of Ogdensburg Sales and Use Tax,81,8
2016,City of Olean Sales and Use Tax,82,4281315
2016,City of Oneida Sales and Use Tax,83,4548545
2016,City of Oswego Sales and Use Tax,84,13038754
2016,City of Plattsburgh Sales and Use Tax,85,0
2016,City of Rome Sales and Use Tax,86,6949164
2016,City of Salamanca Sales and Use Tax,87,574657
2016,City of Saratoga Springs Sales and Use Tax,88,11643025
2016,City of Schenectady Sales and Use Tax,89,0
2016,City of Sherrill Sales and Use Tax,90,0
2016,City of Troy Sales and Use Tax,91,0
2016,City of Utica Sales and Use Tax,92,9530978
2016,City of White Plains Sales and Use Tax,93,50019018
2016,City of Yonkers Sales and Use Tax,94,49697070
2016,City of Yonkers Special Sales and Use Tax,95,29024767
2016,City of Newburgh Consumer Utilities,96,1152453
2016,City of Port Jervis Consumer Utilities,97,264765
2016,Albany City School District Consumer Utilities,98,4031365
2016,Batavia City School District Consumer Utilities,99,758011
2016,Cohoes City School District Consumer Utilities,100,555775
2016,Glen Cove City School District Consumer Utilities,101,1459155
2016,Gloversville City School District Consumer Utilities,102,546143
2016,Hornell City School District Consumer Utilities,103,258137
2016,Hudson City School District Consumer Utilities,104,613889
2016,Johnstown City School District Consumer Utilities,105,416328
2016,Lackawanna City School District Consumer Utilities,106,525016
2016,Long Beach City School District Consumer Utilities,107,1654161
2016,Middletown City School District Consumer Utilities,108,1575784
2016,Mt. Vernon City School District Consumer Utilities,109,2577175
2016,New Rochelle City School District Consumer Utilities,110,3374862
2016,Newburgh City School District Consumer Utilities,111,1970898
2016,Niagara Falls City School District Consumer Utilities,112,1830930
2016,Ogdensburg City School District Consumer Utilities,113,395188
2016,Peekskill City School District Consumer Utilities,114,880650
2016,Rensselaer City School District Consumer Utilities,115,351753
2016,Rye City School District Consumer Utilities,116,390748
2016,Schenectady City School District Consumer Utilities,117,2080395
2016,Troy City School District Consumer Utilities,118,1526609
2016,Utica City School District Consumer Utilities,119,1717377
2016,Watertown City School District Consumer Utilities,120,1166672
2016,Watervliet City School District Consumer Utilities,121,439910
2016,White Plains City School District Consumer Utilities,122,3793448
2016,New York City Convention Center Development Corporation Hotel Occupancy,123,45714603
2016,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",124,2246520
2016,City of Long Beach Hotel Occupancy and Restaurant Meals,125,2358288
2016,Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental,126,24256182
2016,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",127,6838070
2017,New York State Sales and Use Tax,1,13239204846
2017,New York City Sales and Use Tax,2,7044042965
2017,Municipal Assistance Corporation Sales and Use Tax,3,0
2017,Metropolitan Commuter Transportation District Sales and Use Tax,4,836733189
2017,Albany County Sales and Use Tax,5,257227061
2017,Allegany County Sales and Use Tax,6,18947057
2017,Broome County Sales and Use Tax,7,121909512
2017,Cattaraugus County Sales and Use Tax,8,34937501
2017,Cayuga County Sales and Use Tax,9,34113810
2017,Chautauqua County Sales and Use Tax,10,61943490
2017,Chemung County Sales and Use Tax,11,55227157
2017,Chenango County Sales and Use Tax,12,21460004
2017,Clinton County Sales and Use Tax,13,51210412
2017,Columbia County Sales and Use Tax,14,36849189
2017,Cortland County Sales and Use Tax,15,27728688
2017,Delaware County Sales and Use Tax,16,21488079
2017,Dutchess County Sales and Use Tax,17,178460920
2017,Erie County Sales and Use Tax,18,741732748
2017,Essex County Sales and Use Tax,19,27605462
2017,Franklin County Sales and Use Tax,20,20991390
2017,Fulton County Sales and Use Tax,21,19703588
2017,Genesee County Sales and Use Tax,22,36927414
2017,Greene County Sales and Use Tax,23,30650108
2017,Hamilton County Sales and Use Tax,24,3524815
2017,Herkimer County Sales and Use Tax,25,29935207
2017,Jefferson County Sales and Use Tax,26,72443772
2017,Lewis County Sales and Use Tax,27,11378192
2017,Livingston County Sales and Use Tax,28,29872474
2017,Madison County Sales and Use Tax,29,26207319
2017,Monroe County Sales and Use Tax,30,471858358
2017,Montgomery County Sales and Use Tax,31,27932197
2017,Nassau County Sales and Use Tax,32,1121496034
2017,Niagara County Sales and Use Tax,33,115814189
2017,Oneida County Sales and Use Tax,34,132702086
2017,Onondaga County Sales and Use Tax,35,330870887
2017,Ontario County Sales and Use Tax,36,79641122
2017,Orange County Sales and Use Tax,37,263817418
2017,Orleans County Sales and Use Tax,38,15174070
2017,Oswego County Sales and Use Tax,39,40578076
2017,Otsego County Sales and Use Tax,40,35911051
2017,Putnam County Sales and Use Tax,41,58574278
2017,Rensselaer County Sales and Use Tax,42,80524100
2017,Rockland County Sales and Use Tax,43,204762804
2017,St. Lawrence County Sales and Use Tax,44,53678318
2017,Saratoga County Sales and Use Tax,45,117735578
2017,Schenectady County Sales and Use Tax,46,94275403
2017,Schoharie County Sales and Use Tax,47,14705651
2017,Schuyler County Sales and Use Tax,48,10093974
2017,Seneca County Sales and Use Tax,49,23363651
2017,Steuben County Sales and Use Tax,50,51846374
2017,Suffolk County Sales and Use Tax,51,1319618015
2017,Sullivan County Sales and Use Tax,52,38914647
2017,Tioga County Sales and Use Tax,53,19436583
2017,Tompkins County Sales and Use Tax,54,48288523
2017,Ulster County Sales and Use Tax,55,110675116
2017,Warren County Sales and Use Tax,56,51146633
2017,Washington County Sales and Use Tax,57,19170586
2017,Wayne County Sales and Use Tax,58,41653963
2017,Westchester County Sales and Use Tax,59,503785614
2017,Wyoming County Sales and Use Tax,60,16872712
2017,Yates County Sales and Use Tax,61,11207059
2017,City of Amsterdam Sales and Use Tax,62,0
2017,City of Auburn Sales and Use Tax,63,8428432
2017,City of Batavia Sales and Use Tax,64,716
2017,City of Canandaigua Sales and Use Tax,65,2219
2017,City of Corning Sales and Use Tax,66,28274
2017,City of Cortland Sales and Use Tax,67,0
2017,City of Elmira Sales and Use Tax,68,0
2017,City of Fulton Sales and Use Tax,69,0
2017,City of Geneva Sales and Use Tax,70,7386
2017,City of Glen Cove Sales and Use Tax,71,0
2017,City of Glens Falls Sales and Use Tax,72,2957238
2017,City of Gloversville Sales and Use Tax,73,3191483
2017,City of Hornell Sales and Use Tax,74,14930
2017,City of Ithaca Sales and Use Tax,75,10735166
2017,City of Johnstown Sales and Use Tax,76,3707415
2017,City of Mechanicville Sales and Use Tax,77,0
2017,City of Mount Vernon Sales and Use Tax,78,18268354
2017,City of New Rochelle Sales and Use Tax,79,27869983
2017,City of Norwich Sales and Use Tax,80,1567970
2017,City of Ogdensburg Sales and Use Tax,81,8
