block,place_fips
360010003012000,3601000
360010003012001,3601000
360010003012002,3601000
360010003012003,3601000
360010003012004,3601000
360010003012005,3601000
360010003012006,3601000
360010003012007,3601000
360010003012008,3601000
360010003012009,3601000
360010003012010,3601000
360010003012011,3601000
360010003012012,3601000
360010003021000,3601000
360010003021001,3601000
360010003021002,3601000
360010003021003,3601000
360010003021004,3601000
360010003021005,3601000
360010003021006,3601000
360010003021007,3601000
360010003021008,3601000
360010003021009,3601000
360010003021010,3601000
360010003021011,3601000
360010003021012,3601000
360010003021013,3601000
360010003021014,3601000
360010003021015,3601000
360010003021016,3601000
360010003021017,3601000
360010003021018,3601000
360010003021019,3601000
360010003021020,3601000
360010003021021,3601000
360010003021022,3601000
360010003021023,3601000
360010003021024,3601000
360010003021025,3601000
360010003021026,3601000
360010003021027,3601000
360010003021028,3601000
360010003021029,3601000
360010003021030,3601000
360010003021031,3601000
360010003021032,3601000
360010003022000,3601000
360010003022001,3601000
360010003022002,3601000
360010003022003,3601000
360010003022004,3601000
360010003022005,3601000
360010003022006,3601000
360010003022007,3601000
360010003022008,3601000
360010003022009,3601000
360010003022010,3601000
360010003022011,3601000
360010003022012,3601000
360010003022013,3601000
360010003022014,3601000
360010003022015,3601000
360010003022016,3601000
360010003022017,3601000
360010003022018,3601000
360010003022019,3601000
360010004011000,3601000
360010004011001,3601000
360010004011002,3601000
360010004011003,3601000
360010004011004,3601000
360010004011005,3601000
360010004011006,3601000
360010004011007,3601000
360010004011008,3601000
360010004011009,3601000
360010004011010,3601000
360010004011011,3601000
360010004011012,3601000
360010004011013,3601000
360010004011014,3601000
360010004011015,3601000
360010004011016,3601000
360010004011017,3601000
360010004011018,3601000
360010004011019,3601000
360010004011020,3601000
360010004011021,3601000
360010004011022,3601000
360010004011023,3601000
360010004011024,3601000
360010004011025,3601000
360010004011026,3601000
360010004011027,3601000
360010004011028,3601000
360010004011029,3601000
360010004011030,3601000
360010004011031,3601000
360010004011032,3601000
360010004011033,3601000
360010004011034,3601000
360010004011035,3601000
360010004011036,3601000
360010004011037,3601000
360010004011038,3601000
360010004011039,3601000
360010004011040,3601000
360010004011041,3601000
360010004011042,3601000
360010004031000,3601000
360010004031001,3601000
360010004031002,3601000
360010004031003,3601000
360010004031004,3601000
360010004031005,3601000
360010004031006,3601000
360010004031007,3601000
360010004031008,3601000
360010004031009,3601000
360010004031010,3601000
360010004031011,3601000
360010004031012,3601000
360010004032000,3601000
360010004032001,3601000
360010004032002,3601000
360010004032003,3601000
360010004032004,3601000
360010004032005,3601000
360010004032006,3601000
360010004032007,3601000
360010004032008,3601000
360010004032009,3601000
360010004033000,3601000
360010004033001,3601000
360010004033002,3601000
360010004033003,3601000
360010004033004,3601000
360010004033005,3601000
360010004033006,3601000
360010004033007,3601000
360010004033008,3601000
360010004033009,3601000
360010004033010,3601000
360010004033011,3601000
360010004033012,3601000
360010004033013,3601000
360010004033014,3601000
360010004034000,3601000
360010004034001,3601000
360010004034002,3601000
360010004034003,3601000
360010004034004,3601000
360010004034005,3601000
360010004034006,3601000
360010004034007,3601000
360010004034008,3601000
360010004034009,3601000
360010004034010,3601000
360010004034011,3601000
360010004034012,3601000
360010004034013,3601000
360010004034014,3601000
360010004034015,3601000
360010004034016,3601000
360010004034017,3601000
360010004034018,3601000
360010004034019,3601000
360010004034020,3601000
360010004034021,3601000
360010004041000,3601000
360010004041001,3601000
360010004041002,3601000
360010004041003,3601000
360010004041004,3601000
360010004041005,3601000
360010004041006,3601000
360010004041007,3601000
360010004041008,3601000
360010004041009,3601000
360010004041010,3601000
360010004041011,3601000
360010004041012,3601000
360010004041013,3601000
360010004041014,3601000
360010004041015,3601000
360010004041016,3601000
360010004041017,3601000
360010004041018,3601000
360010004041019,3601000
360010004041020,3601000
360010004041021,3601000
360010004041022,3601000
360010004041023,3601000
360010004041024,3601000
360010005011000,3601000
360010005011001,3601000
360010005011002,3601000
360010005011003,3601000
360010005011004,3601000
360010005011005,3601000
360010005012000,3601000
360010005012001,3601000
360010005012002,3601000
360010005012003,3601000
360010005012004,3601000
360010005012005,3601000
360010005013000,3601000
360010005013001,3601000
360010005013002,3601000
360010005013003,3601000
360010005013004,3601000
360010005013005,3601000
360010005014000,3601000
360010005014001,3601000
360010005014002,3601000
360010005014003,3601000
360010005014004,3601000
360010005014005,3601000
360010005014006,3601000
360010005021000,3601000
360010005021001,3601000
360010005021002,3601000
360010005021003,3601000
360010005021004,3601000
360010005021005,3601000
360010005021006,3601000
360010005021007,3601000
360010005021008,3601000
360010005021009,3601000
360010005022000,3601000
360010005022001,3601000
360010005022002,3601000
360010005022003,3601000
360010005022004,3601000
360010005022005,3601000
360010005022006,3601000
360010005022007,3601000
360010005022008,3601000
360010005022009,3601000
360010005022010,3601000
360010005022011,3601000
360010005022012,3601000
360010005022013,3601000
360010005022014,3601000
360010005022015,3601000
360010005022016,3601000
360010005022017,3601000
360010006001000,3601000
360010006001001,3601000
360010006001002,3601000
360010006001003,3601000
360010006001004,3601000
360010006001005,3601000
360010006002000,3601000
360010006002001,3601000
360010006002002,3601000
360010006002003,3601000
360010006002004,3601000
360010006002005,3601000
360010006003000,3601000
360010006003001,3601000
360010006003002,3601000
360010006003003,3601000
360010006003004,3601000
360010006003005,3601000
360010006003006,3601000
360010006003007,3601000
360010006003008,3601000
360010006003009,3601000
